iter	MultiClass
0	1.041191813
1	0.988974538
2	0.9409589278
3	0.8966387156
4	0.8557718466
5	0.8177938021
6	0.7812613188
7	0.7472994156
8	0.7151498336
9	0.684892324
10	0.6573097294
11	0.6320497654
12	0.6075256946
13	0.5842663964
14	0.5614526656
15	0.540423105
16	0.5203280674
17	0.5006769773
18	0.4819088826
19	0.464068424
20	0.4478489916
21	0.4314093316
22	0.4162368703
23	0.4013213277
24	0.387477245
25	0.373842891
26	0.3607718727
27	0.3483716787
28	0.3364332581
29	0.3249757938
30	0.3139885979
31	0.3033957081
32	0.2942308554
33	0.2843914303
34	0.2750222062
35	0.2659507154
36	0.2573975049
37	0.2488966373
38	0.2407830115
39	0.232983851
40	0.2254650047
41	0.2181439184
42	0.2111658874
43	0.2046360336
44	0.1980836951
45	0.1918847143
46	0.1858079806
47	0.1800800456
48	0.1744338748
49	0.1690868966
50	0.1640390573
51	0.1589301827
52	0.1542550769
53	0.1494999081
54	0.1449110495
55	0.1405026677
56	0.1362461334
57	0.1321798214
58	0.1281332893
59	0.1244041652
60	0.1206141522
61	0.117149453
62	0.1136053593
63	0.1104011038
64	0.1073016177
65	0.1040997493
66	0.101152063
67	0.09817067951
68	0.09528787647
69	0.09246185502
70	0.08968459892
71	0.08707056285
72	0.08448940318
73	0.08204928806
74	0.07968336961
75	0.07734315596
76	0.07511756195
77	0.0729066108
78	0.07079237016
79	0.06880005085
80	0.0668781861
81	0.06495966846
82	0.06312568109
83	0.06133924446
84	0.05957867619
85	0.05787776718
86	0.05625570226
87	0.05473300308
88	0.05317956926
89	0.05170749956
90	0.05025247544
91	0.0489365694
92	0.04756198019
93	0.04624514085
94	0.04502243873
95	0.04382349614
96	0.04260164899
97	0.04143645842
98	0.04029854859
99	0.03920337849
